filename,image_name,pred_len,pred_cls,classes_agree,lengths_agree,pred_cls_literal
C:\Users\Kaining\Pictures\Every5days\cam3\021\img001_103_2021-08-31_02-49-21.jpg,img001_103_2021-08-31_02-49-21.jpg,3.4204063415527344,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img002_103_2021-08-31_02-49-30.jpg,img002_103_2021-08-31_02-49-30.jpg,3.2352724075317383,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img003_103_2021-08-31_02-49-40.jpg,img003_103_2021-08-31_02-49-40.jpg,3.5028419494628906,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img004_103_2021-08-31_02-49-49.jpg,img004_103_2021-08-31_02-49-49.jpg,2.760356903076172,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img005_103_2021-08-31_02-49-58.jpg,img005_103_2021-08-31_02-49-58.jpg,3.4344449043273926,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img006_103_2021-08-31_02-50-08.jpg,img006_103_2021-08-31_02-50-08.jpg,2.9719080924987793,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img007_103_2021-08-31_02-50-17.jpg,img007_103_2021-08-31_02-50-17.jpg,3.0525195598602295,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img008_103_2021-08-31_02-50-26.jpg,img008_103_2021-08-31_02-50-26.jpg,3.3346681594848633,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img009_103_2021-08-31_02-50-36.jpg,img009_103_2021-08-31_02-50-36.jpg,1.6862704753875732,0,-1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img010_103_2021-08-31_02-50-45.jpg,img010_103_2021-08-31_02-50-45.jpg,3.3150227069854736,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img011_103_2021-08-31_02-50-54.jpg,img011_103_2021-08-31_02-50-54.jpg,6.380434036254883,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img012_103_2021-08-31_02-51-04.jpg,img012_103_2021-08-31_02-51-04.jpg,2.436950206756592,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img013_103_2021-08-31_02-51-13.jpg,img013_103_2021-08-31_02-51-13.jpg,3.49418044090271,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img014_103_2021-08-31_02-51-23.jpg,img014_103_2021-08-31_02-51-23.jpg,3.272163152694702,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img015_103_2021-08-31_02-51-32.jpg,img015_103_2021-08-31_02-51-32.jpg,2.21380877494812,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img016_103_2021-08-31_02-51-41.jpg,img016_103_2021-08-31_02-51-41.jpg,3.203455924987793,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img017_103_2021-08-31_02-51-51.jpg,img017_103_2021-08-31_02-51-51.jpg,3.232707977294922,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img018_103_2021-08-31_02-52-00.jpg,img018_103_2021-08-31_02-52-00.jpg,6.23685884475708,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img019_103_2021-08-31_02-52-09.jpg,img019_103_2021-08-31_02-52-09.jpg,1.6165544986724854,0,-1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img020_103_2021-08-31_02-52-19.jpg,img020_103_2021-08-31_02-52-19.jpg,9.221835136413574,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img021_103_2021-08-31_02-52-28.jpg,img021_103_2021-08-31_02-52-28.jpg,6.633267879486084,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img022_103_2021-08-31_02-52-37.jpg,img022_103_2021-08-31_02-52-37.jpg,2.1631476879119873,0,-1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\021\img023_103_2021-08-31_02-52-47.jpg,img023_103_2021-08-31_02-52-47.jpg,7.211324214935303,1,1,1,between 4 to 8 mm
