filename,image_name,pred_len,pred_cls,classes_agree,lengths_agree,pred_cls_literal
C:\Users\Kaining\Pictures\Every5days\cam3\016\img002_2021-08-26_02-49-23.jpg,img002_2021-08-26_02-49-23.jpg,3.4313974380493164,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img003_2021-08-26_02-49-32.jpg,img003_2021-08-26_02-49-32.jpg,3.4310827255249023,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img004_2021-08-26_02-49-42.jpg,img004_2021-08-26_02-49-42.jpg,2.559938669204712,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img005_2021-08-26_02-49-51.jpg,img005_2021-08-26_02-49-51.jpg,2.3778178691864014,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img006_2021-08-26_02-50-00.jpg,img006_2021-08-26_02-50-00.jpg,3.329383373260498,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img007_2021-08-26_02-50-10.jpg,img007_2021-08-26_02-50-10.jpg,3.693991184234619,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img008_2021-08-26_02-50-19.jpg,img008_2021-08-26_02-50-19.jpg,2.949733257293701,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img009_2021-08-26_02-50-28.jpg,img009_2021-08-26_02-50-28.jpg,3.343061923980713,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img010_2021-08-26_02-50-38.jpg,img010_2021-08-26_02-50-38.jpg,2.807037591934204,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img011_2021-08-26_02-50-47.jpg,img011_2021-08-26_02-50-47.jpg,3.41367769241333,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img012_2021-08-26_02-50-57.jpg,img012_2021-08-26_02-50-57.jpg,3.445460319519043,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img013_2021-08-26_02-51-06.jpg,img013_2021-08-26_02-51-06.jpg,3.159227132797241,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img014_2021-08-26_02-51-15.jpg,img014_2021-08-26_02-51-15.jpg,3.694314479827881,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img015_2021-08-26_02-51-25.jpg,img015_2021-08-26_02-51-25.jpg,3.1653826236724854,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img016_2021-08-26_02-51-34.jpg,img016_2021-08-26_02-51-34.jpg,3.4962832927703857,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img017_2021-08-26_02-51-43.jpg,img017_2021-08-26_02-51-43.jpg,3.465383768081665,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img018_2021-08-26_02-51-53.jpg,img018_2021-08-26_02-51-53.jpg,3.287708282470703,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img019_2021-08-26_02-52-02.jpg,img019_2021-08-26_02-52-02.jpg,3.134636878967285,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img020_2021-08-26_02-52-11.jpg,img020_2021-08-26_02-52-11.jpg,6.741803169250488,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img021_2021-08-26_02-52-21.jpg,img021_2021-08-26_02-52-21.jpg,7.5684685707092285,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img022_2021-08-26_02-52-30.jpg,img022_2021-08-26_02-52-30.jpg,9.262250900268555,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img023_2021-08-26_02-52-40.jpg,img023_2021-08-26_02-52-40.jpg,3.555790901184082,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img024_2021-08-26_02-52-49.jpg,img024_2021-08-26_02-52-49.jpg,10.028118133544922,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img025_2021-08-26_02-52-58.jpg,img025_2021-08-26_02-52-58.jpg,1.930829644203186,0,-1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img026_2021-08-26_02-53-08.jpg,img026_2021-08-26_02-53-08.jpg,8.792743682861328,1,-1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img027_2021-08-26_02-53-17.jpg,img027_2021-08-26_02-53-17.jpg,1.7394601106643677,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img028_2021-08-26_02-53-26.jpg,img028_2021-08-26_02-53-26.jpg,7.482983589172363,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img029_2021-08-26_02-53-36.jpg,img029_2021-08-26_02-53-36.jpg,14.258413314819336,3,-1,-1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img030_2021-08-26_02-53-45.jpg,img030_2021-08-26_02-53-45.jpg,21.09543800354004,4,-1,-1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\016\img031_2021-08-26_02-53-54.jpg,img031_2021-08-26_02-53-54.jpg,10.19352912902832,1,-1,-1,between 4 to 8 mm
