filename,image_name,pred_len,pred_cls,classes_agree,lengths_agree,pred_cls_literal
C:\Users\Kaining\Pictures\Every5days\cam3\129\img001_103_2021-12-14_01-49-21.jpg,img001_103_2021-12-14_01-49-21.jpg,14.069927215576172,3,1,-1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img002_103_2021-12-14_01-49-30.jpg,img002_103_2021-12-14_01-49-30.jpg,3.4712400436401367,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img003_103_2021-12-14_01-49-40.jpg,img003_103_2021-12-14_01-49-40.jpg,5.177210330963135,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img004_103_2021-12-14_01-49-49.jpg,img004_103_2021-12-14_01-49-49.jpg,16.554821014404297,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img005_103_2021-12-14_01-49-58.jpg,img005_103_2021-12-14_01-49-58.jpg,32.158416748046875,6,1,-1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img006_103_2021-12-14_01-50-08.jpg,img006_103_2021-12-14_01-50-08.jpg,24.620346069335938,4,-1,-1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img007_103_2021-12-14_01-50-17.jpg,img007_103_2021-12-14_01-50-17.jpg,6.891173839569092,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img008_103_2021-12-14_01-50-27.jpg,img008_103_2021-12-14_01-50-27.jpg,12.684487342834473,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img009_103_2021-12-14_01-50-36.jpg,img009_103_2021-12-14_01-50-36.jpg,21.642845153808594,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img010_103_2021-12-14_01-50-45.jpg,img010_103_2021-12-14_01-50-45.jpg,3.488579273223877,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img011_103_2021-12-14_01-50-55.jpg,img011_103_2021-12-14_01-50-55.jpg,3.6842117309570312,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img012_103_2021-12-14_01-51-04.jpg,img012_103_2021-12-14_01-51-04.jpg,3.170638084411621,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img013_103_2021-12-14_01-51-13.jpg,img013_103_2021-12-14_01-51-13.jpg,6.281051158905029,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img014_103_2021-12-14_01-51-23.jpg,img014_103_2021-12-14_01-51-23.jpg,2.5403640270233154,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img015_103_2021-12-14_01-51-32.jpg,img015_103_2021-12-14_01-51-32.jpg,37.481380462646484,6,-1,-1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img016_103_2021-12-14_01-51-42.jpg,img016_103_2021-12-14_01-51-42.jpg,55.21561050415039,8,-1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img017_103_2021-12-14_01-51-51.jpg,img017_103_2021-12-14_01-51-51.jpg,52.25279235839844,8,-1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img018_103_2021-12-14_01-52-00.jpg,img018_103_2021-12-14_01-52-00.jpg,55.08191680908203,8,1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img019_103_2021-12-14_01-52-10.jpg,img019_103_2021-12-14_01-52-10.jpg,77.32437896728516,9,1,1,between 68 to 100 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img020_103_2021-12-14_01-52-19.jpg,img020_103_2021-12-14_01-52-19.jpg,46.93844985961914,7,1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img021_103_2021-12-14_01-52-28.jpg,img021_103_2021-12-14_01-52-28.jpg,31.33618927001953,6,1,1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img022_103_2021-12-14_01-52-38.jpg,img022_103_2021-12-14_01-52-38.jpg,15.872326850891113,3,-1,-1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\129\img023_103_2021-12-14_01-52-47.jpg,img023_103_2021-12-14_01-52-47.jpg,46.86254119873047,7,-1,1,between 42 to 53 mm
