filename,image_name,pred_len,pred_cls,classes_agree,lengths_agree,pred_cls_literal
C:\Users\Kaining\Pictures\Every5days\cam3\119\img001_103_2021-12-04_01-49-21.jpg,img001_103_2021-12-04_01-49-21.jpg,15.549688339233398,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img002_103_2021-12-04_01-49-30.jpg,img002_103_2021-12-04_01-49-30.jpg,1.7586456537246704,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img003_103_2021-12-04_01-49-40.jpg,img003_103_2021-12-04_01-49-40.jpg,5.067259311676025,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img004_103_2021-12-04_01-49-49.jpg,img004_103_2021-12-04_01-49-49.jpg,14.388092994689941,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img005_103_2021-12-04_01-49-58.jpg,img005_103_2021-12-04_01-49-58.jpg,35.099456787109375,6,1,-1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img006_103_2021-12-04_01-50-08.jpg,img006_103_2021-12-04_01-50-08.jpg,35.05569839477539,6,-1,-1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img007_103_2021-12-04_01-50-17.jpg,img007_103_2021-12-04_01-50-17.jpg,6.513615131378174,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img008_103_2021-12-04_01-50-26.jpg,img008_103_2021-12-04_01-50-26.jpg,12.324331283569336,3,-1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img009_103_2021-12-04_01-50-36.jpg,img009_103_2021-12-04_01-50-36.jpg,20.497207641601562,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img010_103_2021-12-04_01-50-45.jpg,img010_103_2021-12-04_01-50-45.jpg,3.4421660900115967,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img011_103_2021-12-04_01-50-54.jpg,img011_103_2021-12-04_01-50-54.jpg,2.788012742996216,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img012_103_2021-12-04_01-51-04.jpg,img012_103_2021-12-04_01-51-04.jpg,2.1464059352874756,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img013_103_2021-12-04_01-51-13.jpg,img013_103_2021-12-04_01-51-13.jpg,5.152281284332275,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img014_103_2021-12-04_01-51-23.jpg,img014_103_2021-12-04_01-51-23.jpg,1.9005600214004517,0,-1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img015_103_2021-12-04_01-51-32.jpg,img015_103_2021-12-04_01-51-32.jpg,32.07366943359375,6,-1,1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img016_103_2021-12-04_01-51-41.jpg,img016_103_2021-12-04_01-51-41.jpg,58.81492233276367,8,-1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img017_103_2021-12-04_01-51-51.jpg,img017_103_2021-12-04_01-51-51.jpg,52.825740814208984,8,1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img018_103_2021-12-04_01-52-00.jpg,img018_103_2021-12-04_01-52-00.jpg,53.919944763183594,8,1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img019_103_2021-12-04_01-52-09.jpg,img019_103_2021-12-04_01-52-09.jpg,76.46739196777344,9,1,1,between 68 to 100 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img020_103_2021-12-04_01-52-19.jpg,img020_103_2021-12-04_01-52-19.jpg,45.909969329833984,7,1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\119\img021_103_2021-12-04_01-52-28.jpg,img021_103_2021-12-04_01-52-28.jpg,31.326311111450195,6,-1,1,between 32 to 42 mm
