filename,image_name,pred_len,pred_cls,classes_agree,lengths_agree,pred_cls_literal
C:\Users\Kaining\Pictures\Every5days\cam3\026\img001_103_2021-09-05_02-49-21.jpg,img001_103_2021-09-05_02-49-21.jpg,3.5412251949310303,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img002_103_2021-09-05_02-49-30.jpg,img002_103_2021-09-05_02-49-30.jpg,3.1417438983917236,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img003_103_2021-09-05_02-49-40.jpg,img003_103_2021-09-05_02-49-40.jpg,2.78781795501709,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img004_103_2021-09-05_02-49-49.jpg,img004_103_2021-09-05_02-49-49.jpg,2.579284906387329,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img005_103_2021-09-05_02-49-58.jpg,img005_103_2021-09-05_02-49-58.jpg,3.3856451511383057,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img006_103_2021-09-05_02-50-08.jpg,img006_103_2021-09-05_02-50-08.jpg,3.7675347328186035,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img007_103_2021-09-05_02-50-17.jpg,img007_103_2021-09-05_02-50-17.jpg,2.4449262619018555,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img008_103_2021-09-05_02-50-26.jpg,img008_103_2021-09-05_02-50-26.jpg,3.225041151046753,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img009_103_2021-09-05_02-50-36.jpg,img009_103_2021-09-05_02-50-36.jpg,3.35844087600708,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img010_103_2021-09-05_02-50-45.jpg,img010_103_2021-09-05_02-50-45.jpg,3.3452866077423096,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img011_103_2021-09-05_02-50-54.jpg,img011_103_2021-09-05_02-50-54.jpg,3.3144452571868896,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img012_103_2021-09-05_02-51-04.jpg,img012_103_2021-09-05_02-51-04.jpg,3.4171979427337646,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img013_103_2021-09-05_02-51-13.jpg,img013_103_2021-09-05_02-51-13.jpg,3.597684860229492,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img014_103_2021-09-05_02-51-22.jpg,img014_103_2021-09-05_02-51-22.jpg,2.437847852706909,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img015_103_2021-09-05_02-51-32.jpg,img015_103_2021-09-05_02-51-32.jpg,2.344346284866333,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img016_103_2021-09-05_02-51-41.jpg,img016_103_2021-09-05_02-51-41.jpg,1.4278942346572876,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img017_103_2021-09-05_02-51-51.jpg,img017_103_2021-09-05_02-51-51.jpg,3.285355567932129,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img018_103_2021-09-05_02-52-00.jpg,img018_103_2021-09-05_02-52-00.jpg,3.2649757862091064,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img019_103_2021-09-05_02-52-09.jpg,img019_103_2021-09-05_02-52-09.jpg,6.124897003173828,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img020_103_2021-09-05_02-52-19.jpg,img020_103_2021-09-05_02-52-19.jpg,7.710467338562012,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img021_103_2021-09-05_02-52-28.jpg,img021_103_2021-09-05_02-52-28.jpg,10.856924057006836,1,-1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img022_103_2021-09-05_02-52-37.jpg,img022_103_2021-09-05_02-52-37.jpg,3.2979307174682617,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img023_103_2021-09-05_02-52-47.jpg,img023_103_2021-09-05_02-52-47.jpg,10.23205280303955,1,-1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img024_103_2021-09-05_02-52-56.jpg,img024_103_2021-09-05_02-52-56.jpg,5.435153007507324,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img025_103_2021-09-05_02-53-05.jpg,img025_103_2021-09-05_02-53-05.jpg,10.744178771972656,2,-1,1,between 8 to 13 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img026_103_2021-09-05_02-53-15.jpg,img026_103_2021-09-05_02-53-15.jpg,3.146643877029419,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img027_103_2021-09-05_02-53-24.jpg,img027_103_2021-09-05_02-53-24.jpg,8.89510726928711,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img028_103_2021-09-05_02-53-34.jpg,img028_103_2021-09-05_02-53-34.jpg,15.333669662475586,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img029_103_2021-09-05_02-53-43.jpg,img029_103_2021-09-05_02-53-43.jpg,14.355655670166016,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img030_103_2021-09-05_02-53-52.jpg,img030_103_2021-09-05_02-53-52.jpg,14.471821784973145,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img031_103_2021-09-05_02-54-02.jpg,img031_103_2021-09-05_02-54-02.jpg,6.73335599899292,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img032_103_2021-09-05_02-54-11.jpg,img032_103_2021-09-05_02-54-11.jpg,3.5808207988739014,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img033_103_2021-09-05_02-54-20.jpg,img033_103_2021-09-05_02-54-20.jpg,10.531424522399902,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img034_103_2021-09-05_02-54-30.jpg,img034_103_2021-09-05_02-54-30.jpg,35.616146087646484,6,1,1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img035_103_2021-09-05_02-54-39.jpg,img035_103_2021-09-05_02-54-39.jpg,57.216941833496094,8,-1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img036_103_2021-09-05_02-54-48.jpg,img036_103_2021-09-05_02-54-48.jpg,49.662109375,9,1,1,between 68 to 100 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img037_103_2021-09-05_02-54-58.jpg,img037_103_2021-09-05_02-54-58.jpg,50.54967498779297,9,1,1,between 68 to 100 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img038_103_2021-09-05_02-55-07.jpg,img038_103_2021-09-05_02-55-07.jpg,49.46360778808594,9,1,1,between 68 to 100 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img039_103_2021-09-05_02-55-16.jpg,img039_103_2021-09-05_02-55-16.jpg,50.43403244018555,9,1,1,between 68 to 100 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img040_103_2021-09-05_02-55-26.jpg,img040_103_2021-09-05_02-55-26.jpg,48.12537384033203,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img041_103_2021-09-05_02-55-35.jpg,img041_103_2021-09-05_02-55-35.jpg,51.25906753540039,9,1,1,between 68 to 100 mm
C:\Users\Kaining\Pictures\Every5days\cam3\026\img042_103_2021-09-05_02-55-44.jpg,img042_103_2021-09-05_02-55-44.jpg,53.74085998535156,9,1,1,between 68 to 100 mm
