filename,image_name,pred_len,pred_cls,classes_agree,lengths_agree,pred_cls_literal
C:\Users\Kaining\Pictures\Every5days\cam3\067\img001_103_2021-10-15_02-49-21.jpg,img001_103_2021-10-15_02-49-21.jpg,17.30461883544922,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img002_103_2021-10-15_02-49-31.jpg,img002_103_2021-10-15_02-49-31.jpg,1.6800808906555176,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img003_103_2021-10-15_02-49-40.jpg,img003_103_2021-10-15_02-49-40.jpg,7.23264217376709,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img004_103_2021-10-15_02-49-49.jpg,img004_103_2021-10-15_02-49-49.jpg,39.93193435668945,7,1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img005_103_2021-10-15_02-49-59.jpg,img005_103_2021-10-15_02-49-59.jpg,51.77587127685547,7,1,-1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img006_103_2021-10-15_02-50-08.jpg,img006_103_2021-10-15_02-50-08.jpg,19.839025497436523,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img007_103_2021-10-15_02-50-18.jpg,img007_103_2021-10-15_02-50-18.jpg,9.496337890625,1,-1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img008_103_2021-10-15_02-50-27.jpg,img008_103_2021-10-15_02-50-27.jpg,28.774526596069336,5,-1,-1,between 25 to 32 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img009_103_2021-10-15_02-50-36.jpg,img009_103_2021-10-15_02-50-36.jpg,9.544337272644043,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img010_103_2021-10-15_02-50-46.jpg,img010_103_2021-10-15_02-50-46.jpg,3.239762306213379,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img011_103_2021-10-15_02-50-55.jpg,img011_103_2021-10-15_02-50-55.jpg,3.419440269470215,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img012_103_2021-10-15_02-51-04.jpg,img012_103_2021-10-15_02-51-04.jpg,2.8836886882781982,0,-1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img013_103_2021-10-15_02-51-14.jpg,img013_103_2021-10-15_02-51-14.jpg,16.60254669189453,3,1,-1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img014_103_2021-10-15_02-51-23.jpg,img014_103_2021-10-15_02-51-23.jpg,3.0190680027008057,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img015_103_2021-10-15_02-51-33.jpg,img015_103_2021-10-15_02-51-33.jpg,28.084901809692383,5,-1,1,between 25 to 32 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img016_103_2021-10-15_02-51-42.jpg,img016_103_2021-10-15_02-51-42.jpg,57.312557220458984,8,-1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img017_103_2021-10-15_02-51-51.jpg,img017_103_2021-10-15_02-51-51.jpg,51.12922286987305,7,1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img018_103_2021-10-15_02-52-01.jpg,img018_103_2021-10-15_02-52-01.jpg,57.85856628417969,8,1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img019_103_2021-10-15_02-52-10.jpg,img019_103_2021-10-15_02-52-10.jpg,37.85668182373047,6,1,1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img020_103_2021-10-15_02-52-19.jpg,img020_103_2021-10-15_02-52-19.jpg,42.87532043457031,7,-1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img021_103_2021-10-15_02-52-29.jpg,img021_103_2021-10-15_02-52-29.jpg,13.473225593566895,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img022_103_2021-10-15_02-52-38.jpg,img022_103_2021-10-15_02-52-38.jpg,29.916946411132812,6,-1,-1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img023_103_2021-10-15_02-52-47.jpg,img023_103_2021-10-15_02-52-47.jpg,42.17961883544922,7,1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img024_103_2021-10-15_02-52-57.jpg,img024_103_2021-10-15_02-52-57.jpg,36.23414611816406,6,-1,1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img025_103_2021-10-15_02-53-06.jpg,img025_103_2021-10-15_02-53-06.jpg,55.54072952270508,8,-1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img026_103_2021-10-15_02-53-15.jpg,img026_103_2021-10-15_02-53-15.jpg,49.70817184448242,7,1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img027_103_2021-10-15_02-53-25.jpg,img027_103_2021-10-15_02-53-25.jpg,45.27185821533203,7,-1,-1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img028_103_2021-10-15_02-53-34.jpg,img028_103_2021-10-15_02-53-34.jpg,9.949522972106934,2,1,1,between 8 to 13 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img029_103_2021-10-15_02-53-44.jpg,img029_103_2021-10-15_02-53-44.jpg,25.910703659057617,4,1,-1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\067\img030_103_2021-10-15_02-53-53.jpg,img030_103_2021-10-15_02-53-53.jpg,34.877098083496094,6,-1,-1,between 32 to 42 mm
