filename,image_name,pred_len,pred_cls,classes_agree,lengths_agree,pred_cls_literal
C:\Users\Kaining\Pictures\Every5days\cam3\134\img002_103_2021-12-19_01-49-23.jpg,img002_103_2021-12-19_01-49-23.jpg,25.40522575378418,4,1,-1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\134\img003_103_2021-12-19_01-49-32.jpg,img003_103_2021-12-19_01-49-32.jpg,1.7043436765670776,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\134\img004_103_2021-12-19_01-49-42.jpg,img004_103_2021-12-19_01-49-42.jpg,4.23831844329834,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\134\img005_103_2021-12-19_01-49-51.jpg,img005_103_2021-12-19_01-49-51.jpg,25.48463249206543,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\134\img006_103_2021-12-19_01-50-00.jpg,img006_103_2021-12-19_01-50-00.jpg,37.08816909790039,6,1,1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\134\img007_103_2021-12-19_01-50-10.jpg,img007_103_2021-12-19_01-50-10.jpg,22.516651153564453,4,-1,-1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\134\img008_103_2021-12-19_01-50-19.jpg,img008_103_2021-12-19_01-50-19.jpg,7.024114608764648,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\134\img009_103_2021-12-19_01-50-28.jpg,img009_103_2021-12-19_01-50-28.jpg,10.136007308959961,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\134\img010_103_2021-12-19_01-50-38.jpg,img010_103_2021-12-19_01-50-38.jpg,21.72719955444336,4,-1,-1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\134\img011_103_2021-12-19_01-50-47.jpg,img011_103_2021-12-19_01-50-47.jpg,3.4204180240631104,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\134\img012_103_2021-12-19_01-50-57.jpg,img012_103_2021-12-19_01-50-57.jpg,3.262096881866455,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\134\img013_103_2021-12-19_01-51-06.jpg,img013_103_2021-12-19_01-51-06.jpg,3.205598831176758,0,1,1,between 0 to 4 mm
