filename,image_name,pred_len,pred_cls,classes_agree,lengths_agree,pred_cls_literal
C:\Users\Kaining\Pictures\Every5days\cam3\046\img001_103_2021-09-25_02-49-21.jpg,img001_103_2021-09-25_02-49-21.jpg,3.4325764179229736,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img002_103_2021-09-25_02-49-30.jpg,img002_103_2021-09-25_02-49-30.jpg,3.193027973175049,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img003_103_2021-09-25_02-49-40.jpg,img003_103_2021-09-25_02-49-40.jpg,1.8995920419692993,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img004_103_2021-09-25_02-49-49.jpg,img004_103_2021-09-25_02-49-49.jpg,3.1051785945892334,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img005_103_2021-09-25_02-49-58.jpg,img005_103_2021-09-25_02-49-58.jpg,8.052750587463379,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img006_103_2021-09-25_02-50-08.jpg,img006_103_2021-09-25_02-50-08.jpg,13.613469123840332,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img007_103_2021-09-25_02-50-17.jpg,img007_103_2021-09-25_02-50-17.jpg,13.66845989227295,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img008_103_2021-09-25_02-50-27.jpg,img008_103_2021-09-25_02-50-27.jpg,8.612041473388672,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img009_103_2021-09-25_02-50-36.jpg,img009_103_2021-09-25_02-50-36.jpg,4.2058916091918945,1,1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img010_103_2021-09-25_02-50-45.jpg,img010_103_2021-09-25_02-50-45.jpg,3.253627300262451,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img011_103_2021-09-25_02-50-55.jpg,img011_103_2021-09-25_02-50-55.jpg,2.1530959606170654,0,-1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img012_103_2021-09-25_02-51-04.jpg,img012_103_2021-09-25_02-51-04.jpg,2.6001076698303223,0,1,1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img013_103_2021-09-25_02-51-13.jpg,img013_103_2021-09-25_02-51-13.jpg,3.0439698696136475,0,1,-1,between 0 to 4 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img014_103_2021-09-25_02-51-23.jpg,img014_103_2021-09-25_02-51-23.jpg,5.871941566467285,1,-1,-1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img015_103_2021-09-25_02-51-32.jpg,img015_103_2021-09-25_02-51-32.jpg,22.751178741455078,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img016_103_2021-09-25_02-51-42.jpg,img016_103_2021-09-25_02-51-42.jpg,57.387752532958984,8,-1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img017_103_2021-09-25_02-51-51.jpg,img017_103_2021-09-25_02-51-51.jpg,52.58662033081055,7,1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img018_103_2021-09-25_02-52-00.jpg,img018_103_2021-09-25_02-52-00.jpg,54.44647216796875,8,-1,1,between 53 to 68 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img019_103_2021-09-25_02-52-10.jpg,img019_103_2021-09-25_02-52-10.jpg,47.34209060668945,7,1,1,between 42 to 53 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img020_103_2021-09-25_02-52-19.jpg,img020_103_2021-09-25_02-52-19.jpg,26.53633689880371,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img021_103_2021-09-25_02-52-28.jpg,img021_103_2021-09-25_02-52-28.jpg,16.80103302001953,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img022_103_2021-09-25_02-52-38.jpg,img022_103_2021-09-25_02-52-38.jpg,8.045554161071777,1,1,1,between 4 to 8 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img023_103_2021-09-25_02-52-47.jpg,img023_103_2021-09-25_02-52-47.jpg,21.030332565307617,4,-1,-1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img024_103_2021-09-25_02-52-56.jpg,img024_103_2021-09-25_02-52-56.jpg,20.818130493164062,4,-1,-1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img025_103_2021-09-25_02-53-06.jpg,img025_103_2021-09-25_02-53-06.jpg,33.23500061035156,6,-1,1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img026_103_2021-09-25_02-53-15.jpg,img026_103_2021-09-25_02-53-15.jpg,40.08731460571289,6,1,1,between 32 to 42 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img027_103_2021-09-25_02-53-25.jpg,img027_103_2021-09-25_02-53-25.jpg,25.925607681274414,4,1,1,between 18 to 25 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img028_103_2021-09-25_02-53-34.jpg,img028_103_2021-09-25_02-53-34.jpg,13.416916847229004,3,1,1,between 13 to 18 mm
C:\Users\Kaining\Pictures\Every5days\cam3\046\img029_103_2021-09-25_02-53-43.jpg,img029_103_2021-09-25_02-53-43.jpg,10.5150728225708,1,-1,1,between 4 to 8 mm
